gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry
5066,830655,"(:16) (Shotgun) A.Dalton pass deep middle to J.Ross for 55 yards, TOUCHDOWN.",CIN,SEA,PASS,4,9,2,0,16,10,14,0,2,2,10,45,3,55,Y,Y,Y,,7,,,,,,AD-0100,Y,,DM,JR-3280,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830656,"R.Bullock extra point is GOOD, Center-C.Harris, Holder-K.Huber.",CIN,SEA,FGXP,4,3,2,0,7,17,14,0,2,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,XP,RB-4650,33,Y,,0,0,,,0,,,0,0,,,0
5066,830657,"R.Bullock kicks 61 yards from CIN 35 to SEA 4. R.Penny to SEA 25 for 21 yards (C.Carter, K.Wynn).",SEA,CIN,KOFF,0,6,2,0,7,14,17,2,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,RB-4650,61,40,,RP-0550,21
5066,830658,(:02) R.Wilson kneels to SEA 24 for -1 yards.,SEA,CIN,RUSH,1,25,2,0,2,14,17,2,0,1,10,25,2,-1,,,,,0,RW-3850,Y,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830659,"R.Bullock kicks 65 yards from CIN 35 to end zone, Touchback.",SEA,CIN,KOFF,0,6,3,15,0,14,17,3,3,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,RB-4650,65,40,Y,,0
5066,830660,"(15:00) R.Wilson pass short left to C.Carson to SEA 36 for 11 yards (P.Brown). FUMBLES (P.Brown), RECOVERED by CIN-D.Kirkpatrick at SEA 39. D.Kirkpatrick ran ob at SEA 28 for 11 yards.",SEA,CIN,PASS,1,30,3,15,0,14,17,3,3,1,10,25,2,11,,,,,0,,,,,,RW-3850,Y,,SL,CC-0750,,PB-0750,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,CC-0750,DK-0750,11,PB-0750,Y,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830661,(14:48) A.Dalton pass short middle to C.Uzomah to SEA 13 for 15 yards (T.Flowers; M.Kendricks).,CIN,SEA,PASS,1,34,3,14,48,17,14,3,3,1,10,72,4,15,Y,Y,,,0,,,,,,AD-0100,Y,,SM,CU-0150,,MK-0730,TF-0725,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830662,"(14:14) J.Mixon up the middle to SEA 12 for 1 yard (B.Wagner, R.Green).",CIN,SEA,RUSH,2,44,3,14,14,17,14,3,3,1,10,87,5,1,,,,,0,JM-5275,,MD,RG-1675,BW-0150,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830663,"(13:30) A.Dalton sacked at SEA 19 for -7 yards. FUMBLES, RECOVERED by SEA-A.Woods at SEA 19. A.Woods to SEA 24 for 5 yards (A.Dalton).",CIN,SEA,PASS,3,7,3,13,30,17,14,3,3,2,9,88,5,-7,,,,,0,,,,,,AD-0100,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,AD-0100,AW-1900,5,,Y,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830664,"(13:23) C.Carson left end to SEA 18 for -6 yards (C.Dunlap, N.Vigil).",SEA,CIN,RUSH,1,36,3,13,23,14,17,3,3,1,10,24,2,-6,,,,,0,CC-0750,,LE,CD-2200,NV-0200,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830665,(12:47) (Shotgun) C.Carson up the middle to SEA 17 for -1 yards (N.Vigil).,SEA,CIN,RUSH,2,39,3,12,47,14,17,3,3,2,16,18,1,-1,,,Y,,0,CC-0750,,MD,NV-0200,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830666,"(12:08) (Shotgun) R.Wilson pass short left to C.Carson pushed ob at SEA 19 for 2 yards (D.Kirkpatrick). Penalty on SEA-D.Metcalf, Offensive Holding, declined.",SEA,CIN,PASS,3,12,3,12,8,14,17,3,3,3,17,17,1,2,,,Y,,0,,,,,,RW-3850,Y,,SL,CC-0750,,DK-0750,,,,SEA,DM-2275,Offensive Holding,2,0,D,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830667,"(11:56) M.Dickson punts 60 yards to CIN 21, Center-T.Ott. A.Erickson to CIN 30 for 9 yards (W.Dissly).",CIN,SEA,PUNT,0,12,3,11,56,17,14,3,3,4,15,19,1,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,MD-0325,60,51,,AE-1037,9,,,0,0,,,0
5066,830668,"(11:44) G.Bernard right end to CIN 27 for -3 yards (P.Ford, B.Mone).",CIN,SEA,RUSH,1,47,3,11,44,17,14,3,3,1,10,30,2,-3,,,,,0,GB-0350,,RE,PF-0300,BM-3375,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830669,(10:57) G.Bernard right tackle to CIN 32 for 5 yards (B.Wagner).,CIN,SEA,RUSH,2,39,3,10,57,17,14,3,3,2,13,27,2,5,,,,,0,GB-0350,,RT,BW-0150,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830670,"(10:18) (Shotgun) A.Dalton pass short right to G.Bernard to SEA 33 for 35 yards (B.McDougald). FUMBLES (B.McDougald), ball out of bounds at SEA 33.",CIN,SEA,PASS,3,32,3,10,18,17,14,3,3,3,8,32,2,35,Y,Y,Y,,0,,,,,,AD-0100,Y,,SR,GB-0350,,BM-1250,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,GB-0350,,0,BM-1250,N,,,,,,0,,,0,0,,,0,,,0,0,,,0
